N = 10;

K = 10;

Pk = [ 95.57 52.17 92.66 37.04 82.94 22.03 30.56 33.65 93.7 17.46 ];

Rk = [ 43 16 20 36 10 2 43 6 36 16 ];

Ak = [ 3 3 5 3 6 6 3 4 5 6 ];

Ck = [ 4.29 6.82 2.76 2.17 4.34 3.06 7.0 2.3 2.93 4.26 ];

Mij = [
[ 0 26 12 44 10 42 29 5 23 3 ]
[ 26 0 4 8 8 8 39 26 15 36 ]
[ 12 4 0 15 23 43 13 48 5 22 ]
[ 44 8 15 0 21 25 1 17 43 8 ]
[ 10 8 23 21 0 1 19 48 43 2 ]
[ 42 8 43 25 1 0 43 48 41 25 ]
[ 29 39 13 1 19 43 0 47 50 34 ]
[ 5 26 48 17 48 48 47 0 35 23 ]
[ 23 15 5 43 43 41 50 35 0 43 ]
[ 3 36 22 8 2 25 34 23 43 0 ]
 ];

