K = 20;

P = [ 97 80 54 39 100 24 88 29 11 10 49 55 65 67 87 36 39 93 71 23 ];

R = [ 24 46 46 28 28 13 27 30 6 13 41 3 15 39 28 29 36 32 29 44 ];

A = [ 3 5 6 3 3 3 3 4 6 6 4 2 5 3 4 2 4 2 3 5 ];

C = [ 4 3 2 3 7 2 2 9 4 5 8 9 5 9 9 7 6 7 8 7 ];

N = 25;

M = [
[ 0 28 25 50 41 31 31 6 24 46 31 4 1 36 6 47 12 7 50 17 37 9 4 49 48 ]
[ 28 0 22 26 5 12 8 18 1 38 40 12 23 42 37 37 5 6 34 37 6 21 42 29 22 ]
[ 25 22 0 12 30 47 6 50 45 49 41 42 29 8 40 34 22 3 14 18 13 18 41 4 12 ]
[ 50 26 12 0 9 20 35 34 25 4 10 17 10 45 32 20 32 12 19 48 10 14 22 27 14 ]
[ 41 5 30 9 0 37 8 11 10 10 44 11 23 30 37 30 45 49 38 8 41 2 32 10 8 ]
[ 31 12 47 20 37 0 4 37 12 4 17 49 33 6 30 48 32 19 31 31 2 34 3 22 31 ]
[ 31 8 6 35 8 4 0 34 20 17 5 13 46 10 31 26 23 23 15 16 2 43 38 23 6 ]
[ 6 18 50 34 11 37 34 0 43 26 50 27 29 12 6 48 38 2 45 22 30 8 23 35 29 ]
[ 24 1 45 25 10 12 20 43 0 7 26 4 31 26 24 27 19 47 24 21 47 28 41 38 23 ]
[ 46 38 49 4 10 4 17 26 7 0 34 47 38 42 40 17 42 30 17 34 26 35 13 30 32 ]
[ 31 40 41 10 44 17 5 50 26 34 0 26 38 47 6 46 26 37 26 10 30 2 13 40 42 ]
[ 4 12 42 17 11 49 13 27 4 47 26 0 15 19 5 49 43 3 49 41 17 41 50 2 47 ]
[ 1 23 29 10 23 33 46 29 31 38 38 15 0 8 19 13 20 24 21 38 46 30 7 5 20 ]
[ 36 42 8 45 30 6 10 12 26 42 47 19 8 0 3 28 25 24 16 25 40 33 21 47 17 ]
[ 6 37 40 32 37 30 31 6 24 40 6 5 19 3 0 39 1 19 8 10 4 13 23 5 33 ]
[ 47 37 34 20 30 48 26 48 27 17 46 49 13 28 39 0 44 24 2 25 30 9 5 38 42 ]
[ 12 5 22 32 45 32 23 38 19 42 26 43 20 25 1 44 0 46 10 48 32 48 4 49 50 ]
[ 7 6 3 12 49 19 23 2 47 30 37 3 24 24 19 24 46 0 5 20 21 7 9 27 6 ]
[ 50 34 14 19 38 31 15 45 24 17 26 49 21 16 8 2 10 5 0 25 15 3 7 17 48 ]
[ 17 37 18 48 8 31 16 22 21 34 10 41 38 25 10 25 48 20 25 0 34 50 31 7 8 ]
[ 37 6 13 10 41 2 2 30 47 26 30 17 46 40 4 30 32 21 15 34 0 6 4 31 47 ]
[ 9 21 18 14 2 34 43 8 28 35 2 41 30 33 13 9 48 7 3 50 6 0 39 28 29 ]
[ 4 42 41 22 32 3 38 23 41 13 13 50 7 21 23 5 4 9 7 31 4 39 0 33 8 ]
[ 49 29 4 27 10 22 23 35 38 30 40 2 5 47 5 38 49 27 17 7 31 28 33 0 19 ]
[ 48 22 12 14 8 31 6 29 23 32 42 47 20 17 33 42 50 6 48 8 47 29 8 19 0 ]
 ];

