K = 23;

P = [ 19 83 99 38 25 31 21 10 70 98 77 92 26 63 49 44 64 18 19 95 46 79 90 ];

R = [ 50 8 10 50 43 48 29 5 37 29 11 24 10 6 38 50 7 48 50 44 24 23 8 ];

A = [ 2 3 2 5 5 6 4 6 6 6 6 6 3 5 3 2 3 6 6 5 6 4 6 ];

C = [ 9 4 7 5 3 4 4 9 7 7 2 2 6 4 3 7 2 9 8 2 2 6 5 ];

N = 19;

M = [
[ 0 26 8 19 27 12 47 14 3 16 29 31 9 46 27 45 6 6 21 ]
[ 26 0 49 17 33 11 36 29 49 7 49 13 16 13 34 22 9 2 14 ]
[ 8 49 0 2 36 44 2 35 40 4 5 31 49 46 25 15 3 10 7 ]
[ 19 17 2 0 39 47 22 30 33 4 18 7 35 22 14 6 17 28 38 ]
[ 27 33 36 39 0 41 9 12 15 17 23 25 17 44 18 32 8 30 39 ]
[ 12 11 44 47 41 0 41 16 21 39 16 39 28 14 46 11 44 25 46 ]
[ 47 36 2 22 9 41 0 47 19 27 3 18 37 46 18 43 22 1 14 ]
[ 14 29 35 30 12 16 47 0 27 42 25 21 39 6 6 42 49 47 5 ]
[ 3 49 40 33 15 21 19 27 0 13 46 16 25 46 41 25 23 18 8 ]
[ 16 7 4 4 17 39 27 42 13 0 10 39 21 45 10 28 18 50 33 ]
[ 29 49 5 18 23 16 3 25 46 10 0 9 44 40 11 18 49 9 10 ]
[ 31 13 31 7 25 39 18 21 16 39 9 0 18 28 49 24 39 19 10 ]
[ 9 16 49 35 17 28 37 39 25 21 44 18 0 22 36 7 18 29 11 ]
[ 46 13 46 22 44 14 46 6 46 45 40 28 22 0 29 43 23 13 26 ]
[ 27 34 25 14 18 46 18 6 41 10 11 49 36 29 0 24 40 15 27 ]
[ 45 22 15 6 32 11 43 42 25 28 18 24 7 43 24 0 16 44 24 ]
[ 6 9 3 17 8 44 22 49 23 18 49 39 18 23 40 16 0 43 36 ]
[ 6 2 10 28 30 25 1 47 18 50 9 19 29 13 15 44 43 0 29 ]
[ 21 14 7 38 39 46 14 5 8 33 10 10 11 26 27 24 36 29 0 ]
 ];

