K = 7;

P = [ 18 62 26 22 100 47 68 ];

R = [ 14 15 42 33 34 32 2 ];

A = [ 5 3 4 2 3 4 2 ];

C = [ 6 4 5 9 2 7 2 ];

N = 22;

M = [
[ 0 13 15 22 2 35 41 40 6 42 36 2 12 6 33 47 49 8 20 29 22 3 ]
[ 13 0 34 8 30 50 7 33 40 41 29 34 36 45 39 34 20 1 45 35 41 48 ]
[ 15 34 0 37 3 42 33 25 10 35 37 20 43 43 5 41 31 30 21 39 8 35 ]
[ 22 8 37 0 31 32 15 24 13 10 1 26 44 29 45 35 7 48 33 50 25 46 ]
[ 2 30 3 31 0 39 9 4 10 16 33 25 12 31 28 14 43 46 36 25 14 2 ]
[ 35 50 42 32 39 0 23 33 50 21 22 20 18 47 7 41 9 22 7 24 10 25 ]
[ 41 7 33 15 9 23 0 36 18 43 14 13 45 9 2 27 16 15 15 39 22 31 ]
[ 40 33 25 24 4 33 36 0 29 47 48 7 16 10 13 31 39 11 30 10 18 44 ]
[ 6 40 10 13 10 50 18 29 0 1 22 20 30 31 3 38 12 41 47 12 33 49 ]
[ 42 41 35 10 16 21 43 47 1 0 10 8 2 35 36 36 45 11 25 44 9 46 ]
[ 36 29 37 1 33 22 14 48 22 10 0 17 22 42 9 4 12 32 14 50 7 13 ]
[ 2 34 20 26 25 20 13 7 20 8 17 0 25 21 15 31 10 49 5 6 26 40 ]
[ 12 36 43 44 12 18 45 16 30 2 22 25 0 6 38 46 21 8 1 33 19 33 ]
[ 6 45 43 29 31 47 9 10 31 35 42 21 6 0 21 36 30 39 26 9 28 23 ]
[ 33 39 5 45 28 7 2 13 3 36 9 15 38 21 0 24 26 40 45 5 37 35 ]
[ 47 34 41 35 14 41 27 31 38 36 4 31 46 36 24 0 31 25 31 47 8 32 ]
[ 49 20 31 7 43 9 16 39 12 45 12 10 21 30 26 31 0 30 5 15 22 30 ]
[ 8 1 30 48 46 22 15 11 41 11 32 49 8 39 40 25 30 0 20 37 26 29 ]
[ 20 45 21 33 36 7 15 30 47 25 14 5 1 26 45 31 5 20 0 17 36 17 ]
[ 29 35 39 50 25 24 39 10 12 44 50 6 33 9 5 47 15 37 17 0 28 5 ]
[ 22 41 8 25 14 10 22 18 33 9 7 26 19 28 37 8 22 26 36 28 0 5 ]
[ 3 48 35 46 2 25 31 44 49 46 13 40 33 23 35 32 30 29 17 5 5 0 ]
 ];

